player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Ose Egbase,90529,ED,UNLV,6,1,0,325,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,36,0,0,0,0,0,0,,,0,1,,,1.5,,,0,0,,65.3,0,,0.0,0,0,0.0,0,1,100.0,68,1,1,0,0,0,0,0.0,
Tyrice Ivy Jr.,90783,S,OREGON ST,1,16,0,265,0,14.0,100.0,66.7,2.0,2.0,0,0,0.0,44.7,0,19,,0,0,158.3,1,2,12.5,3,0,0,1,1,19,5,9.5,19.0,0,1,2.5,100.0,100.0,6.0,6.0,0,0,0.0,67.6,0,7,0.0,0,0,89.6,2,12,75.0,12,0,1,2,0,11,6,0.9,5.5
Solomon Brown,97386,S,BUFFALO,6,206,0,126,1,7.7,33.3,97.8,20.5,6.8,1,2,33.3,67.3,0,13,16.7,1,2,46.5,2,44,21.4,45,1,4,6,0,24,9,0.6,12.0,0,2,9.0,100.0,99.2,19.5,19.5,0,0,0.0,60.7,0,43,8.3,1,0,118.8,6,121,58.7,122,3,9,6,0,85,31,0.7,14.2
Marvae Myers,97517,CB,MARSHALL,6,192,0,214,0,7.0,60.0,98.5,10.0,6.0,0,1,10.0,53.1,0,15,33.3,2,1,110.8,6,67,34.9,68,1,4,10,2,46,28,0.8,7.7,0,1,18.4,55.6,100.0,18.6,10.3,2,2,22.2,75.1,1,52,0.0,0,2,88.9,5,97,50.5,97,1,6,9,1,93,30,1.0,18.6
Jett Elad,97543,S,RUTGERS,6,190,0,278,2,6.5,100.0,96.9,22.0,22.0,0,0,0.0,61.2,1,24,18.2,2,0,79.2,4,95,50.0,98,0,7,4,0,64,38,0.7,16.0,0,0,13.8,83.3,100.0,15.8,13.2,0,1,16.7,59.3,0,62,33.3,3,1,118.8,5,80,42.1,80,0,6,6,0,105,47,1.3,21.0
Mohamed Toure,97751,LB,MIAMI FL,5,100,0,220,0,1.0,0.0,47.8,,10.0,0,0,0.0,63.3,0,,100.0,1,0,39.6,0,11,11.0,23,0,0,1,0,0,0,0.0,,0,1,4.4,76.5,85.7,4.9,3.8,0,1,5.9,37.0,0,28,22.2,2,1,91.5,13,66,66.0,77,1,6,17,0,105,90,1.6,8.1
Zaylin Wood,97761,DI,VANDERBILT,6,5,0,333,0,,,12.1,,,0,0,,61.8,1,,0.0,0,0,0.0,0,4,80.0,33,0,1,0,0,0,0,0.0,,0,0,,,1.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,75,2,0,0,0,0,0,0.0,
Mark Davis,97886,CB,VANDERBILT,5,67,0,333,0,10.3,50.0,100.0,11.5,5.8,0,0,0.0,59.6,0,8,0.0,0,0,59.4,2,25,37.3,25,0,2,4,0,15,2,0.7,7.5,0,0,,,100.0,,,0,0,,73.8,0,,20.0,1,0,0.0,0,34,50.7,34,1,4,0,0,0,0,0.0,
Shammond Cooper,97918,LB,AKRON,7,169,0,102,0,3.0,50.0,74.4,27.0,13.5,0,0,0.0,54.0,0,4,,0,0,95.8,1,29,17.2,39,0,0,2,1,4,5,0.1,4.0,0,0,2.9,78.6,91.4,10.4,8.1,0,0,0.0,70.1,0,22,12.5,1,0,92.9,11,117,69.2,128,5,7,14,0,88,52,0.8,8.0
Richie Hagarty,98121,ED,NWESTERN,6,5,0,256,0,,,5.9,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,17,0,0,0,0,0,0,0.0,,0,0,9.0,100.0,7.8,4.0,4.0,0,0,0.0,48.6,0,10,0.0,0,0,108.3,1,4,80.0,51,0,1,1,0,10,1,2.5,10.0
Jalen Catalon,98867,S,MISSOURI,6,112,0,229,0,15.0,0.0,100.0,,27.0,0,0,0.0,63.4,0,,0.0,0,0,39.6,0,30,26.8,30,0,3,1,0,0,0,0.0,,0,1,6.0,100.0,93.8,13.4,13.4,0,0,0.0,71.5,0,25,12.5,1,0,113.3,5,75,67.0,80,2,6,5,0,56,26,0.8,11.2
Isaiah Gibson Sr.,98952,DI,SO MISS,6,1,0,296,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,32,0,0,0,0,0,0,,,0,0,,,1.2,,,0,0,,59.4,0,,,0,0,0.0,0,1,100.0,84,0,0,0,0,0,0,0.0,
Brandon Mack II,99105,ED,HOUSTON,6,36,0,182,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,28,0,0,0,0,0,0,,,0,0,4.9,100.0,39.1,5.1,5.1,0,0,0.0,60.9,0,22,50.0,2,0,103.0,7,36,100.0,92,3,2,7,0,61,27,1.7,8.7
Will Jones II,99276,S,N TEXAS,6,173,0,251,0,9.9,14.3,98.2,51.0,7.3,0,1,14.3,64.9,0,10,0.0,0,1,39.6,1,55,31.8,56,1,2,7,0,10,13,0.2,10.0,0,0,5.6,80.0,96.9,22.5,18.0,0,0,0.0,72.0,0,16,22.2,2,0,108.3,4,95,54.9,98,4,7,5,0,50,28,0.6,12.5
Logan Wilson,99280,CB,CINCINNATI,5,167,0,138,0,12.0,50.0,100.0,13.0,6.5,0,2,50.0,66.0,0,31,0.0,0,1,85.4,2,27,16.2,27,0,1,4,0,40,7,1.5,20.0,0,1,6.8,58.3,100.0,13.9,8.1,1,2,16.7,67.9,0,25,18.2,2,2,79.9,7,103,61.7,103,2,8,12,0,84,21,0.9,12.0
Isheem Young,99281,S,MEMPHIS,4,48,0,218,0,4.0,0.0,100.0,,15.0,0,0,0.0,70.1,0,,,0,0,39.6,0,17,35.4,17,0,0,1,0,0,0,0.0,,0,0,,,96.0,,,0,0,,61.8,0,,50.0,1,0,0.0,0,24,50.0,25,0,1,0,0,0,0,0.0,
